area,depth,baseline,season,season_year,n_hw_days,cum_intensity,mean_intensity,max_intensity,n_events,mean_duration,max_duration,mean_peak_intensity,max_peak_intensity,mean_event_severity,mean_gap_days_between_events,median_gap_days_between_events,n_hw_days_u,cum_intensity_u,delta_n_hw_days_unsmoothed,delta_cum_intensity_unsmoothed,n_hw_days_p2p5,n_hw_days_p50,n_hw_days_p97p5,cum_int_p2p5,cum_int_p50,cum_int_p97p5
SD22,bottom,A,MAM,1981,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1981,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1982,38,15.5284014967926,0.4086421446524368,0.61036357804704,1,38,38,0.61036357804704,0.61036357804704,1,NA,NA,40,16.557526657163237,-2,-1.0291251603706364,14,38,61,5.6840639629365945,15.554921703492532,25.28495281361368
SD22,bottom,A,JJA,1982,14,3.9677419101924443,0.28341013644231744,0.4601535994297894,1,14,14,0.4601535994297894,0.4601535994297894,1,NA,NA,14,4.138241910192447,0,-0.17050000000000232,0,13,29,0,3.6408303635067636,8.824138449750526
SD22,bottom,A,MAM,1982,86,18.224786386315067,0.21191612077110522,0.6388058446186697,1,86,86,0.6388058446186697,0.6388058446186697,1,NA,NA,86,19.68408638631506,0,-1.4592999999999918,75,87,92,13.11560992516047,17.882158945117638,24.534456270491788
SD22,bottom,A,SON,1982,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,DJF,1983,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1983,16,2.525839771917303,0.15786498574483143,0.3141718460442,2,8,10,0.25220684248040026,0.3141718460442,1,9,9,11,1.920528652886702,5,0.6053111190306009,3,15,33,0.2977514611546006,2.364997826086853,5.442316983250008
SD22,bottom,A,MAM,1983,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1983,11,2.2386627227369305,0.2035147929760846,0.5524101924447997,2,5.5,6,0.3622044903777799,0.5524101924447997,1,65,65,7,0.6780024946543008,4,1.5606602280826296,1,10,25,0.00873570919458011,1.993807163221597,6.020124287241461
SD22,bottom,A,DJF,1984,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1984,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1984,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1984,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5,0.470301140413409,-5,-0.470301140413409,0,0,0,0,0,0
SD22,bottom,A,DJF,1985,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1985,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,MAM,1985,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1985,19,4.3878780470420455,0.23094094984431818,0.3786885958659987,1,19,19,0.3786885958659987,0.3786885958659987,1,NA,NA,18,4.43770356379188,1,-0.049825516749834264,3,19,41,0.18709729151816923,4.229262829650753,10.568194212401995
SD22,bottom,A,DJF,1986,45,16.680974768353565,0.37068832818563496,0.7081929436920902,2,22.5,28,0.56336600142552,0.7081929436920902,1,5,5,50,18.253911689237388,-5,-1.5729369208838229,24,46,69,7.325813825730592,16.544507804704228,28.040731012116993
